رمز الإجراء,وصف الإجراء
"1","يتطلب استيرادها وتصديرها موافقة نادي سباقات الخيل"
"2","يتطلب الموافقة المسبقة قبل الاستيراد من وزارة البيئة والمياه والزراعة وتقوم هيئة الزكاة والضريبة والجمارك بعرضها على الحجر النباتي والحيواني لاجازة فسحها من عدمه"
"3","تعرض على المختبرات الخاصة."
"4","إذا وردت هذه الكائنات حية تعرض على الحجر النباتي والحيواني ( وزارة الزراعة )، وإذا وردت خلاف ذلك تعرض على مختبر مراقبة الجودة والنوعية ( وزارة التجارة والصناعة ). (ملغي)"
"5","تعرض على الحجر الصحي ( وزارة الصحة ) (ملغي)"
"6","إذا كانت صالحة للأكل تعرض على مختبر مراقبة الجودة والنوعية ( وزارة التجارة والاستثمار) وإذا وردت خلاف ذلك ولم تدخل فيها أي عمليات تصنيع تعرض على الحجر النباتي والحيواني ( وزارة الزراعة ). (ملغي)"
"7","للبذار تعرض على الحجر النباتي والحيواني ( وزارة البيئة والمياه والزراعة )، أما اذا كانت صالحة للأكل تعرض الهيئة العامة للغذاء والدواء. (ملغي)"
"8","في حال استيرادها طازجة أو مبردة تعرض على الحجر النباتي والحيواني ( وزارة البيئة والمياه والزراعة ) واذا وردت خلاف ذلك تعرض على الهيئة العامة للغذاء والدواء"
"9","يتطلب استيرادها وتصديرها موافقة الهيئة العامة للامن الغذائي"
"10","يتطلب استيرادها الحصول على ترخيص من هيئة الغذاء والدواء والتأشير على الفواتير بذلك او ابراز شهادة مستقلة. (ملغي)"
"12","تعرض على مختبر الهيئة السعودية للمواصفات والمقاييس والجودة"
"13","يتطلب لاستيرادها وتصديرها موافقة وزارة الداخلية"
"14","تعرض على المختبر المركزي لتحليل الأدوية والأغذية. (ملغي)"
"15","تعرض عند الاستيراد على وزارة الاعلام"
"16","إذا وردت للأغراض الزراعية تعرض على الحجر النباتي والحيواني ( وزارة الزراعة) ، وإذا كانت للأغراض المنزلية تعرض على الهيئة العامة للغذاء والدواء"
"17","تستورد بموجب خطاب من قبل الجهات الحكومية المختصة."
"18","تعرض على البنك المركزي السعودي"
"19","يشترط أن تكون مصحوبة بشهادة تطهير من الخارج وإلا تعرض على الحجر الصحي. (ملغي)"
"20","الأصناف العسكرية منها تفسح بموجب خطاب رسمي من الجهة العسكرية المستفيدة وفي حال تم استيرادها للشركات والمؤسسات فيتطلب لفسحها موافقة الهيئة العليا للأمن الصناعي بوزارة الداخلية"
"21","يتطلب عند الاستيراد تقديم شهادة مطابقة من نظام سابر (الهيئة السعودية للمواصفات والمقاييس والجودة)"
"22","للأغراض الطبية والعلمية يتطلب موافقة الهيئة العامة للغذاء والدواء , أما للأغراض الخاصة بشركات ومؤسسات الصيانة والخدمات الفنية والمقاولات العامة يتطلب موافقة وزارة التجارة."
"23","ممنوع استيرادها لغير القطاعات العسكرية (يتطلب لاستيرادها موافقة الجهة العسكرية المستفيدة)."
"24","يتطلب فسح المواد الاولية (الكيميائية) من الجهات الحكومية ذات الاختصاص وذلك حسب نشاط الجهة المستوردة: وزارة الصناعة والثروة المعدنية للمصانع ووزارة التجارة للشركات والمؤسسات ووزارة الطاقة لمواد قطاع البترول ووزارة التعليم للمواد التعليمية ومدينة الملك عبدالعزيز للعلوم والتقنية لمواد الأبحاث والتطوير."
"25","يتطلب لاستيرادها موافقة هيئة الاتصالات وتقنية المعلومات (ملغى)"
"26","ممنوع استيرادها لغير القطاعات العسكرية , وإذا وردت للجهات الحكومية يتطلب موافقة هذه الجهة"
"27","موافقة الإدارة العامة للآثار بوزارة المعارف للاستيراد والتصدير. (ملغي)"
"28","يتطلب تصدير المواشي ( الأغنام ، الماعز ، الخيل ، الإبل ، البقر ) موافقة من وزارة البيئة والمياه والزراعة."
"29","يتطلب استيرادها وتصديرها موافقة مسبقة من المركز الوطني لتنمية الحياة الفطرية"
"31","ممنوع تصدير أعلاف الماشية وهي الشعير والذرة البيضاء والسودانية والأعلاف الخضراء والتبن وكذلك اعلاف الدواجن وهي الذرة الصفراء وفول الصويا وفى حالة الاستيراد تتم المصادقة وختم بيانات استيراد هذة الاصناف"
"32","ممنوع تصدير حليب الاطفال بديل الام بكافة أنواعه. (ملغي)"
"33","المشتقات البترولية يتطلب استيرادها أو تصديرها موافقة وزارة الطاقة."
"34","تصدير الادوية للمصانع الوطنية يتطلب إبراز مايثبت تسجيلها لدى هيئة الغذاء والدواء أو تسجيلها لدى الدولة المستوردة أو إحضار إذن استيراد من الجهات المختصة بالدولة المستوردة، وإعادة تصدير الأدوية يتطلب الحصول على موافقة من هيئة الغذاء والدواء، وخروج الادوية مع الأفراد يتطلب إحضار مستند رسمي من هيئة الغذاء والدواء يسمح لحاملها بإخراجها شريطة أن آلا تحمل شعار هيئة الغذاء والدواء. (ملغي)"
"35","يتطلب تصديرها موافقة وزارة الصناعة والثروة المعدنية."
"36","حظر تصدير الخضار التالية البطاطس ، البطيخ الحبحب ، البصل الجاف ، الشمام ، القرع اعتبارا من 1433/11/1هـ .(ملغي)"
"37","ممنوع تصدير اسطوانات الغاز الفارغة بمواصفات شركة الغاز والتصنيع الأهلية (غازكو gasco)، واسطوانات الغاز المعبأة بمواصفات شركة الغاز والتصنيع الأهلية (غازكو gasco) يشترط تصديرها إرفاق فاتورة من الشركة. السماح بخروج اسطوانات الغاز الجديدة الفارغة التي يقوم المصنع السعودي لاسطوانات السماح بخروج اسطوانات الغاز الجديدة الفارغة التي يقوم المصنع السعودي لاسطوانات الغاز (انا غاز) بإنتاجها مهما كان نوعها ومواصفاتها."
"38","يتطلب لتصديرها الحصول على موافقة صندوق التنمية الزراعية (ملغي)"
"39","يتطلب لتصديرها الحصول على موافقة صندوق التنمية الزراعية"
"40","ممنوع استيراد مادة الاسبستوس والسلع والمواد التي تحتوي على هذه المادة."
"41","ممنوع استيراد مادة برومات البوتاسيوم."
"42","يمنع تصدير مياه زمزم بموجب الأمر السامي الكريم إلا للحاج والمعتمر بواقع جالون واحد بسعة 5 لتر"
"43",""
"44","البطاقات الخاصة بأجهزة الاستقبال التلفزيوني يتطلب عرضهاعلى وزارة الثقافة والاعلام (ملغي)"
"45","يتطلب لفسحها موافقة الهيئة العليا للأمن الصناعي بوزارة الداخلية ، وفي حال تم استيرادها من قبل الجهات الحكومية يتم فسحها بموجب خطاب من الجهة المستفيدة"
"46","يتطلب للاستيراد الحصول على ترخيص من هيئة الغذاء والدواء والتأشير على الفواتير بذلك أو ابراز شهادة مستقلة، أما الأدوية البيطرية يتطلب استيرادها موافقة وزارة الزراعة.(ملغي)"
"47","يتطلب استيرادها موافقة الهيئة العامة لتنظيم الإعلام"
"48","المستلزمات الطبية والخيوط الجراحية والحقن الطبية والمستهلكات الطبية والمعدات الطبية إذا كانت مسجلة ضمن نشاط السجل التجاري تفسح مباشرة، وفي حالة عدم إضافتها في السجل التجاري فيتم مراجعة وزارة التجارة والصناعة بحكم الاختصاص. (ملغي)"
"49","السيوف والخناجر والحراب والرماح والاسلحة البيضاء المعدة للزينة تفسح مباشرة، وغير ذلك يتطلب استيرادها الحصول على موافقة من ادارة الاسلحة والمتفجرات بوزارة الداخلية. (ملغي)"
"50","لا تستورد او تصدر هذه المواد الا من قبل جهات حكومية بموجب موافقه مسبقه من وزارة التجارة ."
"51","ممنوع استيراد النفايات الصناعية والمخلفات الخطرة ، نفايات محضرات الصيدلية، مخلفات الصناعات الكيميائية والصناعات المرتبطة بها ، نفايات البلدية ، نفايات المجاري ( وحل ). (ملغي)"
"52","يتطلب استيرادها خطاب فسح من وزارة الداخلية (الهيئة العليا للأمن الصناعي - وحدة التراخيص الامنية) مبني على موافقة مكافحة المخدرات ."
"53","يتطلب استيرادها موافقة من وزارة الصحة (ملغي)"
"54","يتطلب استيرادها وتصديرها موافقة المركز الوطني للرقابة على الالتزام البيئي"
"55","تعفى من الرسوم الجمركية للمستورد وتتحمل الدولة مبالغ هذه الرسوم حتى تاريخ 31/12/2009 م. (ملغي)"
"56","الوسائد الهوائية المحتوية على أي مادة ضمن مواد التي تدخل في تركيب المتفجرات يتطلب استيرادها موافقة الامن الصناعي."
"57","يلزم الحصول على رخصة تصدير من وزارة التجارة"
"58","يتطلب لاستيرادها الحصول على موافقة هيئة الاتصالات والفضاء والتقنية (ملغي)"
"59","يشترط لإستيرادها و تصديرها الحصول على موافقة مسبقه من وزارة التجارة للشركات والمؤسسات ، وبالنسبة للمصانع من وزارة الصناعه والثروه المعدنية ."
"60","يشترط لفسح أجهزة استقبال القنوات الفضائية رسيفرات والتي تستخدم في فك الشفرات سواء بواسطة شبكة الانترنت أو جهاز صغير مدمج مع جهاز الرسيفر ، أن يكون لدى مستورد هذه الاجهزة مايلي: (ملغي) 1ـ ترخيص من وزارة الثقافة والاعلام بمزاولة النشاط. 2ـ أن ينص على هذا النشاط في السجل التجاري. بحيث يتم ادخال رقم الترخيص ورقم السجل التجاري المتضمن هذا النشاط للبنود الجمركية الخاصة بهذه الاجهزة لفسحها ، وفي حالة عدم تقديم ذلك تحجز الارسالية ويطلب من المستورد مراجعة وزارة الثقافة والاعلام للاعلام الداخل."
"61","تعرض عند الاستيراد على الهيئة العامة للغذاء والدواء للموافقة على الفسح من عدمه"
"62","فسح مستوردات الهيئات الدبلوماسية والقنصلية والمنظمات الدولية يستلزم تقديم نموذج فسح من وزارة الخارجية معتمدا من ديوان المصلحة.(ملغي)"
"63","يشترط الحصول على موافقة وزارة الداخلية - إدارة الاسلحة والمتفجرات - عند الاستيراد والتصدير"
"64","نادي الطيران السعودي (ملغي)"
"65","يتطلب استيرادها وتصديرها موافقة مسبقة من المركز الوطني لتنمية الحياة الفطرية (ملغي)"
"66","يمنع تصدير مياه الشرب المعبأه والثلج إلى خارج المملكة بما في ذلك مياه زمزم (ملغي)"
"67","يلزم خطاب للاستيراد والتصدير من وزارة البترول والثروة المعدينة.(ملغي)"
"68","يتطلب لاستيرادها موافقة الهيئة العليا للامن الصناعي وحده التراخيص الامنية للمواد التي تدخل في تركيب المتفجرات."
"69","مايرد لشركة الزيت العربية السعودية (ارامكو السعودية) (ملغي)"
"70","منع استيراد الفحم من الصومال على نحو مباشر أو غير مباشر تنفيذا لقرار مجلس الامن 2036 (2012) (ملغي)"
"71","يتطلب تصديرها تحصيل مبلغ الاعانه وقيمته 2000 ريال عن كل طن (ملغي)"
"72","يتطلب تصديرها اجراء تحليل للتأكد من مطابقة المادة المصدرة مع التحليل"
"73",""
"74","فسح الاجهزة الضوئية والصوتية (سفتي واشارات انذار ضوئي) بخطاب من وزارة الداخلية - المرور"
"75","يتطلب تصديرها عرضها على ديوان هيئة الزكاة والضريبة والجمارك (الادارة العامة للتعرفة)."
"76","يمنع دخول تبغ المضغ"
"77","يمنع دخول القرآن الكريم بأي شكل كان بما في ذلك المصاحف الإلكترونية والاقلام القارئة للقرآن الكريم (للكميات التجارية)."
"78","منع دخول الطيور الحية من جميع دول العالم ماعدا بيض التفقيس والصيصان الخاضعة للرقابة الفنية الواردة في تعميم ديوان المصلحة رقم 43/512/م وتاريخ 1426/10/11هـ المبني على الامر السامي البرقي رقم 11261/م ب وتاريخ (ملغي)1426/10/10هـ. باستثناء الصقور الواردة التي استثنيت بالامر السامي رقم 12690/م ب وتاريخ 1426/12/2هـ ورقم 3150/م ب وتاريخ 1428/3/26هـ القاضية بالموافقة على السماح بدخول صقور الصيد للمملكة من خلال المنافذ التي تم تحديدها عن طريق ( مطار الملك خالد الدولي ، الحديثة ، الرقعي ، جسر الملك فهد ، سلوى ، البطحاء)."
"79","منع ثمار الفورو بكمية تجارية ويستثنى ما يرد مع الحجاج بما لايزيد عن 2كيلوجرام (تم الايقاف)"
"80","ارفاق شهادة مطابقة تتضمن إختبار كفاءة إستهلاك الطاقة ، وبطاقة كفاءة إستهلاك الطاقة. أو عرض على هيئة السعودية للمواصفات والمقاييس والجودة."
"81","يتطلب موافقة هيئة الزكاة والضريبة والجمارك (الإدارة العامة للتعرفة) ولا يتطلب استحصال فرق السعر العالمي عند التصدير"
"82","استيراد القار النفطي (الاسفلت)يتطلب موافقة وزارة البترول والثروة المعدنية . (ملغي)"
"83",""
"84","ممنوع استيرادها (ملغي)"
"85","ممنوع تصديرها الا بتصريح من امارة المنطقة بالمشاركة في المهرجانات والمسابقات والمزينات التي تقام في دول مجلس التعاون لدول الخليج العربية على ان تستكمل الاشتراطات المبلغه في خطاب ديوان المصلحة رقم 43/780/م وتاريخ 1436/11/22هـ (ملغي)"
"86","المطبوعات التي تحمل شعار جهة حكومية تفسح بخطاب من الجهة ذات العلاقة. اما المطبوعات الامنية يتم فسحها بموجب خطاب من مصلحة المطابع الحكومية."
"87","يلزم موافقة الهيئة العامة للغذاء والدواء (للسلائف الكيميائية عند الاستيراد)"
"88","يتطلب تصديرها خطاب مرفق موافقة وزارة الزراعة على ذبحها وأن يدون على غلاف منتجها النهائي عبارة دجاج بياض بخط واضح غير قابل للازالة (ملغي)"
"89","ارفاق شهادة مطابقة مدون بها رقم التسجيل لدى الهيئة السعودية للمواصفات والمقاييس والجودة وبطاقة كفاءة استهلاك الطاقة أو عرض على هيئة السعودية للمواصفات والمقاييس والجودة."
"90","قيادة طيران الأمن (ملغي)"
"91","يشترط لفسحها عند الاستيراد الحصول على موافقة الهيئة العامة للطيران المدني"
"92","يتطلب الحصول على رخصة تصدير من وزارة البيئة والمياه والزراعة"
"93","يشترط الحصول على إذن تصدير من وزارة البيئة والمياه والزراعة"
"94","يتطلب الحصول على تصريح من الإتحاد السعودي للهجن عند التصدير"
"95","يتطلب الحصول على تصريح من نادي الإبل عند التصدير"
"96","يلزم العرض على الإدارة العامة للقيود والتعريفة الجمركية بديوان الهيئة"
"97","يلزم موافقة المديرية العامة لمكافحة المخدرات (للسلائف الكيميائية عند التصدير)"
"98","يتطلب لتصديرها الحصول على موافقة من الهيئة العامة للغذاء والدواء"
"99","يتطلب لتصديرها موافقة الهيئة العامة للأمن الغذائي"
"100","يتطلب لتصديرها موافقة وزارة الطاقة"
"101","يلزم الحصول على موافقة وزارة الثقافة لاستيراد وتصدير القطع الأثرية"
"102","يشترط لاستيرادها وتصديرها الحصول على موافقة المركز الوطني لإدارة النفايات (موان)"
"103","يتطلب الحصول على إذن استيراد من وزارة البيئة والمياه والزراعة (ملغي)"
"104","يلزم الحصول على موافقة هيئة الرقابة النووية والإشعاعية عند الإستيراد أو التصدير"
"105","يتطلب استيرادها موافقة وزارة الداخلية"
"106","يشترط لتصدير العينات للأغراض التشخيصية موافقة مكتب إرسال العينات إلى الخارج بوزارة الصحة ، ويشترط لتصدير العينات للأغراض البحثية موافقة اللجنة الوطنية للأخلاقيات الحيوية بمدينة الملك عبدالعزيز للعلوم والتقنية"
"107","يتطلب استيرادها الحصول على موافقة من هيئة الرقابة النووية والاشعاعية"
"108","يلزم الحصول على موافقة من وزارة المالية للتصدير"
"109","يشترط عند التصدير الحصول على موافقة المركز الوطني للنفايات (موان)"
"110","يشترط عند الاستيراد الحصول على موافقة المركز الوطني لإدارة النفايات (موان)"
"111","يمنع استيرادها ويشترط لتصديرها الحصول على موافقة المركز الوطني لإدارة النفايات (موان)"
"112","يتطلب لتصدير المواد البتروكيماوية موافقة وزارة الطاقة"
"113","لا تتطلب إذن مسبق لإتمام إجراءات فسوحات الاستيراد أو التصدير، إلا أن هذا الصنف يخضع لمتطلبات هيئة الرقابة النووية والإشعاعية في المجال النووي وللرقابة عليه"
